job_title,company,location,description,skills,job_url,source_url
"Account Executive, AI Sales",Stripe,,Help increase the GDP of the internet as part of our Sales team.,,https://stripe.com/jobs/listing/account-executive-ai-sales/7546284,https://stripe.com/jobs/search
"Backend Engineer, Data",Stripe,,Help increase the GDP of the internet as part of our Data Platform team.,,https://stripe.com/jobs/listing/backend-engineer-data/6865161,https://stripe.com/jobs/search
"AI Success Engineer, Government",OpenAI,,"ABOUT THE TEAM OpenAI’s AI Success Engineer team partners with the world’s most ambitious organizations to translate cutting edge AI into real business value. We guide customers from first deployment through scaled enterprise adoption. Our work spans technical integration and enablement, workflow transformation, and sustained program and product delivery. Our government customers have vital missions, and we must meet them with game-changing technology. Every engagement is an opportunity to shape","Ai, Go",https://jobs.ashbyhq.com/openai/dde7aafb-fa52-4b14-b94f-1aa331b32fa6,https://jobs.ashbyhq.com/openai
"Acquisition Lead, Milan Experiences (12 month FTC)",Airbnb,,Airbnb was born in 2007 when two hosts welcomed three guests to their San Francisco …,Ai,https://careers.airbnb.com/positions/7634722/,https://careers.airbnb.com/positions/
"Analyst, Revenue Forecasting",Airbnb,,Airbnb was born in 2007 when two hosts welcomed three guests to their San Francisco …,Ai,https://careers.airbnb.com/positions/7540205/,https://careers.airbnb.com/positions/
Onboarding Coordinator EMEA,OpenAI,,"ABOUT THE TEAM The People Programs team at OpenAI plays a pivotal role in creating an environment where every employee can thrive, grow, and contribute to our mission of ensuring that AGI benefits all of humanity. This expanding team develops and executes human-first strategies and programs that support our rapid growth, unique culture, and innovative spirit. Our Coaching, Learning & Development team manages programs ranging from new employee onboarding to manager development and company-wide le","Ai, Api",https://jobs.ashbyhq.com/openai/efba7594-8f4b-476f-9235-3962c3e78aa4,https://jobs.ashbyhq.com/openai
Account Executive Funded Startups French,Stripe,,Help increase the GDP of the internet as part of our Sales team.,,https://stripe.com/jobs/listing/account-executive-funded-startups-french/7686224,https://stripe.com/jobs/search
US Payroll Operations,OpenAI,,"About the Team OpenAI Finance is responsible for ensuring the organization is set up for success in pursuit of its mission. OpenAI’s Payroll team is responsible for timely and accurate processing of payroll and ensuring compliance with all statutory regulations. About the Role At OpenAI, payroll is not a back-office function — it is mission-critical infrastructure. We are seeking a seasoned US Payroll Operations expert to scale, and continuously improve the payroll and payroll-support ecosystem ",Ai,https://jobs.ashbyhq.com/openai/85b0c026-ea2a-4467-8f1f-e8be94ddb6f7,https://jobs.ashbyhq.com/openai
"Brand Marketing Intern, France",Airbnb,,Airbnb was born in 2007 when two hosts welcomed three guests to their San Francisco …,Ai,https://careers.airbnb.com/positions/7563987/,https://careers.airbnb.com/positions/
"Security Engineer, Application Security",OpenAI,,"About the Team Security is at the foundation of OpenAI’s mission to ensure that artificial general intelligence benefits all of humanity. The Security team protects OpenAI’s technology, people, and products. We are technical in what we build but are operational in how we do our work, and are committed to supporting all products and research at OpenAI. Our Security team tenets include: prioritizing for impact, enabling researchers, preparing for future transformative technologies, and engaging a ",Ai,https://jobs.ashbyhq.com/openai/1e110226-448a-4c0b-b0e4-d0f5df579fbf,https://jobs.ashbyhq.com/openai
"Business Solutions Engineer, (Agentic AI)",Airbnb,,Airbnb was born in 2007 when two hosts welcomed three guests to their San Francisco …,Ai,https://careers.airbnb.com/positions/7541082/,https://careers.airbnb.com/positions/
"Software Engineer, Codex Cloud",OpenAI,,"About the Team With Codex we’re building an AI software engineer. One that you can pair with, delegate to, or even ask to take on future tasks proactively. Our team is a fast-moving group within OpenAI, bringing together research, engineering, design, and product. We iteratively build the Codex agent harness and product to get the most out of the model, and we iteratively train the model to be great at complex software engineering tasks. The Codex team is responsible for building state-of-the-ar",Ai,https://jobs.ashbyhq.com/openai/130a5389-83e1-493f-9205-542d3ff53afb,https://jobs.ashbyhq.com/openai
"Accounting Intern, Statutory Reporting",Airbnb,,Airbnb was born in 2007 when two hosts welcomed three guests to their San Francisco …,Ai,https://careers.airbnb.com/positions/7707299/,https://careers.airbnb.com/positions/
Administrative Coordinator,Stripe,,Help increase the GDP of the internet as part of our Administrative team.,,https://stripe.com/jobs/listing/administrative-coordinator/7434713,https://stripe.com/jobs/search
"Software Engineer, Hardware",OpenAI,,"ABOUT THE TEAM OpenAI’s Hardware organization develops silicon and system-level solutions designed for the unique demands of advanced AI workloads. The team is responsible for building the next generation of AI-native silicon while working closely with software and research partners to co-design hardware tightly integrated with AI models. In addition to delivering production-grade silicon for OpenAI’s supercomputing infrastructure, the team also creates custom design tools and methodologies that",Ai,https://jobs.ashbyhq.com/openai/778e3a4f-c318-4a79-a745-00e722e5ee47,https://jobs.ashbyhq.com/openai
Positions Archive Careers at Airbnb,Airbnb,,English Français,Ai,https://careers.airbnb.com/positions/,https://careers.airbnb.com/positions/
"Account Executive, Enterprise (Hunter)",Stripe,,Help increase the GDP of the internet as part of our Sales team.,,https://stripe.com/jobs/listing/account-executive-enterprise-hunter/7458833,https://stripe.com/jobs/search
Hardware Exploratory Singapore,OpenAI,,"About the Team The Consumer Products team at OpenAI builds the hardware that brings advanced AI technology directly into people’s hands. We design, engineer, and manufacture next-generation consumer devices that combine elegant design, robust engineering, and cutting-edge AI. Our team spans mechanical, electrical, and systems engineering — partnering closely with industrial design, operations, and software to create seamless, high-quality experiences that make AI more accessible and useful. Abou","Ai, Ml",https://jobs.ashbyhq.com/openai/565c001b-c164-477a-88a9-ce81e5e5480d,https://jobs.ashbyhq.com/openai
Account Executive (12 Month FTC),Airbnb,,Airbnb was born in 2007 when two hosts welcomed three guests to their San Francisco …,Ai,https://careers.airbnb.com/positions/7649441/,https://careers.airbnb.com/positions/
AI Support Engineer Dublin,OpenAI,,"About the Team OpenAI’s User Operations team shepherds our customers’ adoption of AI and ensures that our customers' product experience is nothing short of exceptional. We are building the very first post-AGI support team. We resolve complex issues, provide technical guidance, and support customers in maximizing value and adoption from deploying our products. We work closely with Sales, Technical Success, Product, Engineering and others, to deliver the best possible experience to our customers a",Ai,https://jobs.ashbyhq.com/openai/d5b65a7c-3294-453f-a674-4cb1c0e2aaa7,https://jobs.ashbyhq.com/openai
"Operations Analyst, User Operations (Trust & Safety) EMEA",OpenAI,,"About the Team At OpenAI, our User Operations team safeguards our products and users from abuse, fraud, and safety risks. We serve as part of the company’s frontline safety infrastructure—helping ensure real-world user experiences translate into timely, high-integrity decisions and durable improvements. We operate at the intersection of operations, user trust, and risk management, collaborating cross-functionally with partners across Legal, Policy, Engineering, and Product, as well as external v",Ai,https://jobs.ashbyhq.com/openai/986732f2-56a0-44ca-9030-a7cdeccf9454,https://jobs.ashbyhq.com/openai
Tous les postes,Airbnb,,English Français,Ai,https://careers.airbnb.com/fr/positions/,https://careers.airbnb.com/positions/
Agent Comms Strategist,Airbnb,,Airbnb was born in 2007 when two hosts welcomed three guests to their San Francisco …,Ai,https://careers.airbnb.com/positions/7738432/,https://careers.airbnb.com/positions/
Datacenter NetDeploy Lead Stargate,OpenAI,,"ABOUT THE TEAM OpenAI, in close collaboration with our capital partners, is building the world’s most advanced AI infrastructure ecosystem. This team defines and executes our core infrastructure strategy. From site selection through full buildout, we sit at the intersection of commercial, technical, strategy, and operations, partnering closely with internal teams and external stakeholders. ABOUT THE ROLE We are seeking a Datacenter NetDeploy Lead to own the end-to-end execution of physical netwo","Ai, Api",https://jobs.ashbyhq.com/openai/4f7ccd3c-0f85-4384-a310-d751993ed431,https://jobs.ashbyhq.com/openai
"Acquisition Lead, Rome Experiences (12 month FTC)",Airbnb,,Airbnb was born in 2007 when two hosts welcomed three guests to their San Francisco …,Ai,https://careers.airbnb.com/positions/7634675/,https://careers.airbnb.com/positions/
Account Director Tokyo,OpenAI,,"Our Sales team has a unique mission to help customers understand the deep impact that highly capable AI models can bring to their business and users. The Account Director role is a mixture of technical understanding, vision, partnership, and value-driven strategy.",Ai,https://jobs.ashbyhq.com/openai/18f58952-c242-4562-8732-073a0ae8029e,https://jobs.ashbyhq.com/openai
"Account Executive, Existing Business, Iberia",Stripe,,Help increase the GDP of the internet as part of our Sales team.,,https://stripe.com/jobs/listing/account-executive-existing-business-iberia/7553751,https://stripe.com/jobs/search
"Forward Deployed Engineer (FDE), Life Sciences Paris",OpenAI,,"About the team OpenAI’s Forward Deployed Engineering team partners with global pharma and biotech, CROs, and research institutions to deploy existing expertise across the R&D value chain to help customers design and ship production-grade AI systems. We operate at the intersection of customer delivery and core platform development, converting early deployments into repeatable system standards and evaluation practices that scale across regulated environments. About the role We are hiring a Forward",Ai,https://jobs.ashbyhq.com/openai/c1cbfc05-b381-40c4-9c16-9ea2bea8bfc4,https://jobs.ashbyhq.com/openai
"(Contract) Senior Data Scientist, Platform Inference MarTech DS Measurement",Airbnb,,Airbnb was born in 2007 when two hosts welcomed three guests to their San Francisco …,Ai,https://careers.airbnb.com/positions/7732569/,https://careers.airbnb.com/positions/
"Android Engineer, Terminal OS Platform",Stripe,,Help increase the GDP of the internet as part of our Terminal team.,,https://stripe.com/jobs/listing/android-engineer-terminal-os-platform/7557403,https://stripe.com/jobs/search
"Senior Manager, Revenue Risk & Compliance (FRM)",OpenAI,,"About the Team The Internal Controls function sits within the broader Finance Risk Management (FRM) organization and plays a key role in strengthening the integrity, scalability, and reliability of OpenAI’s finance-critical operations. Our team designs and governs the Internal Controls over Financial Reporting (ICFR) framework that supports accurate, transparent financial results. We focus on business-process controls across areas like Order-to-Cash, Compute, Data, Global Financial Close, Accoun","Ai, Go, Scala",https://jobs.ashbyhq.com/openai/5a4d7213-561b-4bae-bdf7-031af0cb11ce,https://jobs.ashbyhq.com/openai
"Business Development Intern, Experiences, Paris",Airbnb,,Airbnb was born in 2007 when two hosts welcomed three guests to their San Francisco …,Ai,https://careers.airbnb.com/positions/7662483/,https://careers.airbnb.com/positions/
"Research Engineer, Notifications",OpenAI,,"About the Team The ChatGPT team works across research, engineering, product, and design to bring OpenAI’s technology to the world. We seek to learn from deployment and broadly distribute the benefits of AI, while ensuring that this powerful tool is used responsibly and safely. We aim to make our innovative tools globally accessible, transcending geographic, economic, or platform barriers. Our commitment is to facilitate the use of AI to enhance lives, fostered by rigorous insights into how peopl","Ai, Go",https://jobs.ashbyhq.com/openai/8fc7124f-6338-4ff5-93ec-c6050a31cb93,https://jobs.ashbyhq.com/openai
"Data Science Manager, Integrity",OpenAI,,"ABOUT THE TEAM Integrity Data Science sits at the center of OpenAI’s mission to deploy powerful AI responsibly. We help ensure people can trust our products by building measurement systems, experimentation practices, and detection/mitigation strategies that protect OpenAI and our users from misuse, fraud, and evolving adversarial behaviors. As the scope and urgency of Integrity work expands across product surfaces and go-to-market motion, we’re hiring a dedicated Data Science Manager to scale th","Ai, Go",https://jobs.ashbyhq.com/openai/a10fac90-0639-4bfc-92b2-97b094f7edcb,https://jobs.ashbyhq.com/openai
AI Support Engineer San Francisco,OpenAI,,"About the Team OpenAI’s User Operations team shepherds our customers’ adoption of AI and ensures that our customers' product experience is nothing short of exceptional. We are building the very first post-AGI support team. We resolve complex issues, provide technical guidance, and support customers in maximizing value and adoption from deploying our products. We work closely with Sales, Technical Success, Product, Engineering and others, to deliver the best possible experience to our customers a",Ai,https://jobs.ashbyhq.com/openai/1a979fd4-1bce-484e-a416-aed2810677a6,https://jobs.ashbyhq.com/openai
Expand economic access across the globe,Stripe,Mexico City,"We operate at significant scale, but we’re tiny relative to the opportunity ahead. Want to join us? See what career opportunities are available across our global teams.",Ai,https://stripe.com/jobs/search?skip=400,https://stripe.com/jobs/search
"Backend Engineer, Core Technology",Stripe,,Help increase the GDP of the internet as part of our Infrastructure & Corporate Tech team.,,https://stripe.com/jobs/listing/backend-engineer-core-technology/6623777,https://stripe.com/jobs/search
"Strategic Finance, B2B Product",OpenAI,,"About the Team The Strategic Finance team provides financial insights and guidance to support OpenAI’s long-term goals and strategies. We partner across the business to allocate and deploy our resources for the highest-impact outcomes. ￼ Within Strategic Finance, our team focuses on the growth and financial performance of our B2B products – ensuring tight alignment between financial objectives and company strategy. More broadly, Strategic Finance partners with leaders across Product, GTM, Resear","Ai, Go",https://jobs.ashbyhq.com/openai/a19887d2-bbf8-42a5-b431-a2e16d8132c4,https://jobs.ashbyhq.com/openai
